date,roi,value,index
2019-04-01,roi2,0.6046966891226307,GNDVI
2019-05-01,roi2,0.6139316655648781,GNDVI
2019-06-01,roi2,0.6019937259725145,GNDVI
2019-07-01,roi2,0.5819843555876617,GNDVI
2019-08-01,roi2,0.6415244338734736,GNDVI
2019-09-01,roi2,0.5349515090153447,GNDVI
2019-10-01,roi2,0.6396588905470704,GNDVI
2019-11-01,roi2,0.49876221774494506,GNDVI
2019-12-01,roi2,0.5047400784836287,GNDVI
2020-01-01,roi2,0.6592807561237163,GNDVI
2020-02-01,roi2,0.644010306788691,GNDVI
2020-03-01,roi2,0.030018100166335025,GNDVI
2020-04-01,roi2,0.5977211654270537,GNDVI
2020-05-01,roi2,0.6062739586751948,GNDVI
2020-06-01,roi2,0.5140806184171985,GNDVI
2020-07-01,roi2,0.5811523257002682,GNDVI
2020-08-01,roi2,0.563033072322043,GNDVI
2020-09-01,roi2,0.5959172709952355,GNDVI
2020-10-01,roi2,0.5611754903349245,GNDVI
2020-11-01,roi2,0.6010575948701862,GNDVI
2020-12-01,roi2,0.609678856525437,GNDVI
2021-01-01,roi2,0.6367775885826583,GNDVI
2021-02-01,roi2,0.6392407769167053,GNDVI
2021-03-01,roi2,0.6502455087021881,GNDVI
2021-04-01,roi2,0.6519823613157161,GNDVI
2021-05-01,roi2,0.6414714736781434,GNDVI
2021-06-01,roi2,0.5963784931644347,GNDVI
2021-07-01,roi2,0.5931026193767365,GNDVI
2021-08-01,roi2,0.5574849717753327,GNDVI
2021-09-01,roi2,0.6244320427692834,GNDVI
2021-10-01,roi2,0.4843190564282091,GNDVI
2021-11-01,roi2,0.5808059810690772,GNDVI
2021-12-01,roi2,0.6021658566434107,GNDVI
2022-01-01,roi2,0.5933110671929585,GNDVI
2022-02-01,roi2,0.5808958545701658,GNDVI
2022-03-01,roi2,0.6185283678900682,GNDVI
2022-04-01,roi2,0.6016551085016698,GNDVI
2022-05-01,roi2,0.5923799171993682,GNDVI
2022-06-01,roi2,0.6082598374404118,GNDVI
2022-07-01,roi2,0.5948939020946397,GNDVI
2022-08-01,roi2,0.6252415353784885,GNDVI
2022-09-01,roi2,0.6083523277722148,GNDVI
2022-10-01,roi2,0.6085670512577084,GNDVI
2022-11-01,roi2,0.34641041695023095,GNDVI
2022-12-01,roi2,0.33770819855228973,GNDVI
2023-01-01,roi2,0.3398477898864708,GNDVI
2023-02-01,roi2,0.3340842485257332,GNDVI
2023-03-01,roi2,0.32726495088085455,GNDVI
2023-04-01,roi2,0.3457233410758698,GNDVI
2023-05-01,roi2,0.36872008108069393,GNDVI
2023-06-01,roi2,0.4159922053338123,GNDVI
2023-07-01,roi2,0.43134901172688134,GNDVI
2023-08-01,roi2,0.4201160819569634,GNDVI
2023-09-01,roi2,0.414797015597896,GNDVI
2023-10-01,roi2,0.42004052474952924,GNDVI
2023-11-01,roi2,0.421471502958433,GNDVI
2023-12-01,roi2,0.4129909621061054,GNDVI
2024-01-01,roi2,0.4050737435727386,GNDVI
2024-02-01,roi2,0.39902257927426293,GNDVI
2024-03-01,roi2,0.3875230020741997,GNDVI
2024-04-01,roi2,0.37583218504656934,GNDVI
2024-05-01,roi2,0.4039798059997476,GNDVI
2024-06-01,roi2,0.399056657440893,GNDVI
2024-07-01,roi2,0.39388208374479833,GNDVI
2024-08-01,roi2,0.37910466907801343,GNDVI
2017-01-01,roi1,-0.0023930492195808444,NDMI
2017-02-01,roi1,0.037273490638991116,NDMI
2017-03-01,roi1,0.0967977493863014,NDMI
2017-04-01,roi1,0.05374687120122318,NDMI
2017-05-01,roi1,0.04721527221415086,NDMI
2017-06-01,roi1,0.0463987494085375,NDMI
2017-07-01,roi1,0.06521337737491027,NDMI
2017-08-01,roi1,0.04957932390426064,NDMI
2017-09-01,roi1,0.07586586373587108,NDMI
2017-10-01,roi1,0.04154483361695869,NDMI
2017-11-01,roi1,0.006826603525925976,NDMI
2017-12-01,roi1,-0.005125867495747404,NDMI
2018-01-01,roi1,-0.0664227388807206,NDMI
2018-02-01,roi1,-0.05628141352322237,NDMI
2018-03-01,roi1,-0.04600972374822022,NDMI
2018-04-01,roi1,-0.10691456239925379,NDMI
2018-05-01,roi1,-0.1069443605173043,NDMI
2018-06-01,roi1,-0.06104352417008978,NDMI
2018-07-01,roi1,-0.08715600601160448,NDMI
2018-08-01,roi1,-0.042201869460183554,NDMI
2018-09-01,roi1,-0.0398159713793214,NDMI
2018-10-01,roi1,-0.016881437410602697,NDMI
2018-11-01,roi1,0.11156494511445045,NDMI
2018-12-01,roi1,0.07770754778499417,NDMI
